Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Townsend, Philip A; Kruger, Eric L; Singh, Aditya; Jablonski, AD; Kochaver, Steve; Serbin, Shawn; ",HyspIRI Measurements of Agricultural Systems in California: 2013-2015,AGU Fall Meeting Abstracts,,,,2015,
"Desai, AR; DuBois, S; Singh, A; Serbin, S; Goulden, M; Baldocchi, DD; Oechel, WC; Kruger, EL; Townsend, PA; ",Detection of Extreme Climate Event Impacts to Terrestrial Productivity From Airborne Hyperspectral Imagery,AGU Fall Meeting Abstracts,,,,2015,
"Townsend, PA; Couture, JJ; Kruger, EL; Serbin, S; Singh, A; ",Mapping Variation in Vegetation Functioning with Imaging Spectroscopy,AGU Fall Meeting Abstracts,,,,2015,
"Serbin, Shawn; Singh, Aditya; Couture, John J; Shiklomanov, Alexey N; Rogers, Alistair; Desai, Ankur R; Kruger, Eric L; Townsend, Philip A; ","Linking vegetation structure, function and physiology through spectroscopic remote sensing",AGU Fall Meeting Abstracts,,,,2015,
"Brottem, Leif; Turner, Matthew D; Butt, Bilal; Singh, Aditya; ",Biophysical variability and pastoral rights to resources: West African transhumance revisited,Human Ecology,42,3,351-365,2014,Springer US
"Serbin, Shawn P; Singh, Aditya; McNeil, Brenden E; Kingdon, Clayton C; Townsend, Philip A; ",Spectroscopic determination of leaf morphological and biochemical traits for northern temperate and boreal tree species,Ecological Applications,24,7,1651-1669,2014,Ecological Society of America
"Madritch, Michael D; Kingdon, Clayton C; Singh, Aditya; Mock, Karen E; Lindroth, Richard L; Townsend, Philip A; ",Imaging spectroscopy links aspen genotype with below-ground processes at landscape scales,Philosophical Transactions of the Royal Society B: Biological Sciences,369,1643,20130194,2014,The Royal Society
"Wolter, Peter T; Berkley, Elizabeth A; Peckham, Scott D; Singh, Aditya; ",Satellite-based management tool for oak savanna ecosystem restoration,Journal of Fish and Wildlife Management,5,2,252-269,2014,
"Gowri Shankar, Pogiri; Singh, Aditya; Ganesh, S.R.; Whitaker, Romulus; ",Factors influencing human hostility to king cobras (Ophiophagus hannah) in the Western Ghats of India,Hamadryad,36,2,62-68,2014,"Madras Crocodile Bank Trust, Chennai, India"
"Townsend, Philip A; Madritch, Michael D; Kingdon, Clayton C; Singh, Aditya; Mock, Karen E; Lindroth, Richard L; ",Imaging spectroscopy links aspen genotype with,,,,,2014,
"Singh, A; Serbin, S; Kucharik, CJ; Townsend, PA; ",Spectroscopic measurements of soybeans used to parameterize physiological traits in the AgroIBIS ecosystem model,AGU Fall Meeting Abstracts,,,,2014,
"Gu, H; Townsend, PA; Singh, A; ","Assessment of urban tree growth from structure, nutrients and composition data derived from airborne lidar and imaging spectroscopy",AGU Fall Meeting Abstracts,,,,2014,
"Singh, Aditya; ",Drivers of Landscape-scale Nutrient Export Detected from Satellite Remote Sensing andImaging Spectroscopy,,,,,2014,The University of Wisconsin-Madison
"Anand, A; Singh, A; Kapur, PK; Das, S; ",Modeling conjoint effect of faults testified from operational phase for successive software releases,Proceedings of the 5th international conference on life cycle engineering and management (ICDQM),,,83-94,2014,
"Singh, Aditya; Jakubowski, Andrew R; Chidister, Ian; Townsend, Philip A; ",A MODIS approach to predicting stream water quality in Wisconsin,Remote sensing of environment,128,,74-86,2013,Elsevier
"Islam, MZ; Singh, A; Basheer, MP; Judas, J; Boug, A; ",Differences in space use and habitat selection between captive‐bred and wild‐born houbara bustards in S audi A rabia: results from a long‐term reintroduction program,Journal of Zoology,289,4,251-261,2013,
"Singh, A; Serbin, SP; Kingdon, C; Townsend, PA; ","Scaling, propagating and mapping uncertainty in spectroscopy-derived foliar traits from the leaf to the image",AGU Fall Meeting Abstracts,,,,2013,
"Townsend, PA; Serbin, SP; Kingdon, C; Singh, A; Couture, JJ; Gamon, JA; ",Spectral Data Captures Important Variability Between and Among Species and Functional Types,AGU Fall Meeting Abstracts,,,,2013,
"Townsend, Philip A; Singh, Aditya; Foster, Jane R; Rehberg, Nathan J; Kingdon, Clayton C; Eshleman, Keith N; Seagle, Steven W; ",A general Landsat model to predict canopy defoliation in broadleaf deciduous forests,Remote Sensing of Environment,119,,255-265,2012,Elsevier
"Deel, Lindsay N; McNeil, Brenden E; Curtis, Philip G; Serbin, Shawn P; Singh, Aditya; Eshleman, Keith N; Townsend, Philip A; ",Relationship of a Landsat cumulative disturbance index to canopy nitrogen and forest structure,Remote Sensing of Environment,118,,40-49,2012,Elsevier
"Wolter, PT; Berkley, EA; Peckham, SD; Singh, A; Townsend, PA; ",Exploiting tree shadows on snow for estimating forest basal area using Landsat data,Remote Sensing of Environment,121,,69-79,2012,Elsevier
"Singh, Aditya; Hines, Tommy C; Hostetler, Jeffery A; Percival, H Franklin; Oli, Madan K; ","Patterns of space and habitat use by northern bobwhites in South Florida, USA",European Journal of Wildlife Research,57,1,15-26,2011,Springer-Verlag
"Singh, Aditya; Kushwaha, SPS; ","Refining logistic regression models for wildlife habitat suitability modeling—a case study with muntjak and goral in the Central Himalayas, India",Ecological Modelling,222,8,1354-1366,2011,Elsevier
"Butt, Bilal; Turner, Matthew D; Singh, Aditya; Brottem, Leif; ",Use of MODIS NDVI to evaluate changing latitudinal gradients of rangeland phenology in Sudano-Sahelian West Africa,Remote Sensing of Environment,115,12,3367-3376,2011,Elsevier
"Jalata, Zerihun; Mekbib, Firew; Lakew, Berhane; Ahmed, Seid; Mulatu, B; Lakew, B; Bekele, B; Fekadu, A; Berhane, L; Sharma, Y; ",Comparison of the efficiency among half diallel methods in the genetic analysis of bread wheat (Triticum aestivum L.) under drought stress condition.,Journal of Applied Sciences,19,2,pp: 1-16-pp: 1-16,2011,orgz
"Singh, Aditya; Hines, Tommy C; Percival, H Franklin; Oli, Madan K; ",Does nest-site selection influence bobwhite nesting success in south Florida?,Wildlife Research,37,6,489-496,2010,CSIRO PUBLISHING
"Isaacson, Bernard N; Serbin, Shawn P; Singh, Aditya; Townsend, Philip A; ",OOS 56-9: Mapping ash trees (Fraxinus spp) using Landsat-scale phenology for improved management of the emerald ash borer (Agrilus planipennis Fairmaire),The 95th ESA Annual Meeting,,,,2010,
"Imam, Ekwal; Kushwaha, SPS; Singh, Aditya; ","Evaluation of suitable tiger habitat in Chandoli National Park, India, using spatial modelling of environmental variables",Ecological Modelling,220,24,3621-3629,2009,Elsevier
"Singh, Aditya; ","Space use, habitat and nest-site selection by northern bobwhites in south Florida",,,,,2009,University of Florida
"Imam, Ekwal; Kushwaha, SPS; Singh, Aditya; ","Evaluation of suitable tiger habitat in Chandoli National Park, India, using spatial modelling of environmental variables",Ecological Modelling,220,24,3621-3629,2009,Elsevier
"Isaacson, BN; Singh, A; Serbin, SP; Townsend, PA; ",Phenologically informed re-ordering of Landsat to account for inter-annual variability: a method to map Ash trees (Fraxinus spp.) using remotely sensed imagery,AGU Fall Meeting Abstracts,,,,2009,
"Zarri, Ashfaq A; Rahmani, Asad R; Singh, A; Kushwaha, SPS; ",Habitat suitability assessment for the endangered Nilgiri Laughingthrush: a multiple logistic regression approach,Current Science,,,1487-1494,2008,Current Science Association
"Kushwaha, SPS; Quadri, ARSHIA; Singh, ADITYA; Khan, AFIFULLAH; ",Habitat preference assessment on the tiger and its prey ungulates in the Corbett Tiger Reserve,Fauna of Corbett Tiger Reserve:(Uttarakhand,,,,2008,
"Bunyan, Milind; Singh, Aditya; Jose, Shibu; ",PS 60-87: Forest or grassland: Predictive modeling of tropical montane forest distributions in a forest-grassland mosaic,The 93rd ESA Annual Meeting,,,,2008,
"Kate, Aniket; Menezes, Bernard; Singh, Ashish; ",Security/Privacy Issues in Providing Database as a Servic e,"Ministry of IT&T, Government of Pakistan",,,156,2005,
"Dwivedi, Santosh; Menezes, Bernard; Singh, Ashish; ",Database Access Control for E-Business–A case study,11th International Conference on Management of Data COMAD (to be presented),,,,2005,
"Kushwaha, SPS; Khan, A; Habib, Bilal; Quadri, Arshia; Singh, Aditya; ",Evaluation of sambar and muntjak habitats using geostatistical modelling,Current Science,,,1390-1400,2004,Current Science Association
"Al-Tabbal, Jalal A; K. Al-Zboon, Kamel; Ahmad, I; Athar, M; Sarwar, F; Al-Harbi, OA; Hussain, G; Khan, MM; Moallim, MA; Al-Sagaby, IA; ",Nitrate transport and transformation process in unsaturated porous media.,Journal of Environmental Science and Technology,5,5,34-39,2004,orgz
"Kukreja, AK; Singh, AK; ",Nardostachys jataniansi DC.—The Indian Nard,Biotechnology of Medicinal Plants: Vitalizer and Therapeutic,,,203,2004,CRC Press
"Ahmad, A; Inam, A; Ahmad, I; Hayat, S; Azam, ZM; Azad Shamim, A; Bahar, A Siddiqui; Khan, S; Brown, PH; Welch, RM; ",Growth and mineral accumulation in Eucalyptus camaldulensis seedlings irrigated with mixed industrial effluents.,Asian Journal of Plant Sciences,5,2,141-146,2003,orgz
"Qasim, M; Ahmad, I; Hassan, A; Hooker, ML; Gwin, RE; Herron, GM; Gallagher, P; Page, AL; Miller, RH; Keeney, DR; ",Principles and Procedures of Statistics.,Journal of Biological Sciences,1,1,94-99,1989,orgz
"Zarri, Ashfaq Ahmed; Rahmani, Asad R; Singh, Aditya; Kushwaha, SPS; ",Application of GIS for modelling habitat suitability of Globally Threatened Birds: a case study of the Nilgiri Laughingthrush,,,,,,
"Zarri, Ashfaq Ahmed; Rahmani, Asad R; Singh, Aditya; Kushwaha, SPS; ",Home> Geospatial Application Papers> Environment> Wildlife Management,,,,,,
"Isaacson, Bernard; Singh, Aditya; Serbin, Shawn; Townsend, Phil; ",MAPPING ASH TREES ACROSS A BROAD SPATIAL EXTENT WITH MODERATE RESOLUTION TO SUPPORT EMERALD ASH BORER MANAGEMENT,Forest Health Technology Enterprise Team,,,62,,
"Dreyer, Jamin; Townsend, Philip A; Hook III, James C; Vander Zanden, M Jake; Hoekman, David; Singh, Aditya; Gratton, Claudio; ",Modeling masses of midges: following the path of aquatic insects from a lake onto land,,,,,,
"Deel, Lindsay N; McNeil, Brenden E; Curtis, Philip G; Serbin, Shawn P; Singh, Aditya; Eshleman, Keith N; Townsend, Philip A; ",Relationship of a Landsat cumulative disturbance index to canopy nitrogen,,,,,,
,Leaf and Canopy Level Detection of Fusarium Virguliforme (Sudden Death Syndrome) in Soybean,,,,,,
"Kate, Aniket; Menezes, Bernard; Singh, Ashish; ",Subtle Issues in the Design of a Database Tier Firewall,,,,,,
"Tapp, Alain; Ahmad, Ishfaq; Kapur, PK; Singh, Ashish Kumar; Pascucci, Valerio; Vadera, Sunil; Ye, Nong; Atwell, Eric; Taher, Fatma; ",List of Keynote/Invited Speakers/Panelists,,,,,,
